number,title,type,block,
number,title,type,block,
ENG101,Freshman English,y,B,
HIS705,Film History-HIS,1,B,
ENG101,Freshman English,y,E,
FRE101,French 1,y,A,
ENG101,Freshman English,y,G,
FRE101,French 1,y,F,
ENG201,Sophomore English,y,A,
FRE201,French 2,y,B,
ENG201,Sophomore English,y,B,
FRE404,Adv French: Hist,y,E,
ENG201,Sophomore English,y,C,
GER101,German 1,y,B,
ENG201,Sophomore English,y,D,
GER201,German 2,y,E,
ENG201,Sophomore English,y,F,
GER301,German 3,y,A,
ENG301,Fiction Writing,1,G,
GER403,Adv German: Hist,y,G,
ENG307,Poetry,1,B,
LAT101,Latin 1,y,B,
ENG307,Poetry,1,D,
LAT201,Latin 2,y,D,
ENG308,Writing Seminar,1,A,
MAN101,Mandarin 1,y,D,
ENG309,Imaginary Worlds,1,F,
MAN201,Mandarin 2,y,G,
ENG310,Journeys,1,F,
MAN301,Mandarin 3,y,E,
ENG310,Journeys,1,G,
MAN402,Adv Mandarin,y,C,
ENG318,Lit of Concord,1,B,
SPA101,Spanish 1,y,C,
ENG318,Lit of Concord,1,E,
SPA101,Spanish 1,y,E,
ENG319,Lit Collective,1,D,
SPA101,Spanish 1,y,G,
ENG320,Text Me,1,E,
SPA201,Spanish 2,y,F,
ENG321,Villains Heroes,1,B,
SPA301,Spanish 3,y,A,
ENG321,Villains Heroes,1,C,
SPA301,Spanish 3,y,C,
HIS105,Japan,1,A,
SPA301,Spanish 3,y,D,
HIS105,Japan,1,B,
SPA404,Adv Spanish: Lit,y,C,
HIS111,Early Africa,1,E,
BIO101,Biology,y,A,
HIS112,South Asia Civs,1,C,
BIO101,Biology,y,B,
HIS203,China Early Modern,1,D,
BIO101,Biology,y,C,
HIS203,China Early Modern,1,F,
BIO101,Biology,y,E,
HIS204,US African Amer,1,D,
BIO101,Biology,y,F,
HIS204,US African Amer,1,E,
BIO101,Biology,y,G,
HIS205,US Amer Atlantic,1,B,
BIO401,Adv Biology,y,D,
HIS205,US Amer Atlantic,1,C,
CHE201,Chemistry,y,A,
HIS301,Central Amer Revs,1,E,
CHE201,Chemistry,y,B,
HIS304,Russia,1,G,
CHE201,Chemistry,y,C,
HIS305,Modern India,1,G,
CHE201,Chemistry,y,D,
HIS306,US Public Hist,1,E,
CHE201,Chemistry,y,F,
HIS307,Modern Middle East,1,B,
CHE201,Chemistry,y,G,
HIS307,Modern Middle East,1,F,
CHE401,Adv Chemistry,y,C,
HIS308,19th-C Europe,1,C,
CHE401,Adv Chemistry,y,E,
HIS308,19th-C Europe,1,D,
ENV203,Fund Earth Systems,1,B,
HIS704,Music History 2-HIS,1,C,
ENV203,Fund Earth Systems,1,D,
number,title,type,block,
number,title,type,block,
ENV301,Water Conflicts,1,C,
FIB101,Fiber Arts: Tie-Dye,1,F13,
ENV301,Water Conflicts,1,F,
FIL101,Filmmaking 1,1,A13,
ENV401,AES Communities,1,A,
FIL101,Filmmaking 1,1,E23,
PHY301,Physics,y,C,
FIL201,Film 2: Narrative,1,G12,
PHY301,Physics,y,D,
FIL203,Improv Film,y,D12,
PHY301,Physics,y,G,
FIL701,Film History-VIS,1,B,
PHY303,Engineering,1,E,
PAI101,Painting 1,1,D12,
PHY401,Adv Physics: MP,1,F,
PAI101,Painting 1,1,G12,
PHY401,Adv Physics: MP,1,G,
PAI201,Painting 2,1,B13,
MAT101,Algebra 1,1,G,
PAI301,Painting 3,1,B13,
MAT102,Intermed Algebra,1,C,
PHO101,Photography 1,1,G12,
MAT102,Intermed Algebra,1,G,
PHO201,Photography 2,1,C23,
MAT201,Geometry 1,1,A,
PHO302,Color Photo,1,E23,
MAT201,Geometry 1,1,B,
VIS101,Sculpture,1,A13,
MAT201,Geometry 1,1,E,
VIS201,The Figure,1,A13,
MAT201,Geometry 1,1,F,
VIS704,Graphic Design-VIS,1,D12,
MAT203,Algebra 2,1,D,
DAN101,Dance 1,1,B13,
MAT203,Algebra 2,1,F,
DAN201,Dance 2 -w,w,.AS,
MAT204,Accel Algebra 2,1,B,
MUS101,Indiv Music Instruc,y,TBA,
MAT204,Accel Algebra 2,1,E,
MUS103,Chorus,y,H1+AS,
MAT204,Accel Algebra 2,1,G,
MUS104,Music Theory 1,1,F,
MAT301,Statistics,1,A,
MUS111,Basic Piano,1,G13,
MAT301,Statistics,1,C,
MUS112,Basic Voice,1,A23,
MAT303,Precalculus,1,A,
MUS113,Basic Guitar,1,D13,
MAT303,Precalculus,1,D,
MUS202,Music Composition,y,TBA,
MAT303,Precalculus,1,E,
MUS702,Music History 2-PER,1,C,
MAT303,Precalculus,1,F,
THE101,Theatre 1: Mythic,1,C23,
MAT305,Accel Precalculus,1,C,
THE204,Theatre Design,1,C23,
MAT305,Accel Precalculus,1,E,
THE205,Theatre 2: Chekhov,1,F13,
MAT305,Accel Precalculus,1,F,
HEA101,H&W: Freshman Sem,y,C1,
MAT403,Calculus: Part A,1,B,
HEA101,H&W: Freshman Sem,y,E1,
MAT404,Calculus: Part B,1,A,
HEA101,H&W: Freshman Sem,y,A2,
MAT405,Adv Topics in Math,1,F,
HEA101,H&W: Freshman Sem,y,G3,
MAT407,Adv Economics,1,B,
HEA201,H&W: Sophomore Sem,1,H1,
CST701,Graphic Design-CST,1,D12,
HEA201,H&W: Sophomore Sem,1,D2,
CER101,Ceramics 1,1,C23,
HEA201,H&W: Sophomore Sem,1,E2,
CER202,Cer 2: Wheel,1,F13,,,,
CER302,Cer 3: Wheel,1,F13,,,,
DRA101,Drawing 1,1,B13,,,,
FIB101,Fiber Arts: Tie-Dye,1,C23,,,,
